index,encode,new_code,rank
0,000000000000000000000010000000010000000000000001000000,4,0
9,000000000000000000000010000000010000000000000001000000,4,0
22,000000000000000000000010000000010000000000000001000000,4,0
23,000000000000000000000010000000010000000000000001000000,4,0
54,000000000000000000000010000000010000000000000001000000,4,0
58,000000000000000000000010000000010000000000000001000000,4,0
59,000000000000000000000010000000010000000000000001000000,4,0
62,000000000000000000000010000000010000000000000001000000,4,0
77,000000000000000000000010000000010000000000000001000000,4,0
96,000000000000000000000010000000010000000000000001000000,4,0
98,000000000000000000000010000000010000000000000001000000,4,0
113,000000000000000000000010000000010000000000000001000000,4,0
133,000000000000000000000010000000010000000000000001000000,4,0
134,000000000000000000000010000000010000000000000001000000,4,0
140,000000000000000000000010000000010000000000000001000000,4,0
180,000000000000000000000010000000010000000000000001000000,4,0
181,000000000000000000000010000000010000000000000001000000,4,0
186,000000000000000000000010000000010000000000000001000000,4,0
192,000000000000000000000010000000010000000000000001000000,4,0
197,000000000000000000000010000000010000000000000001000000,4,0
210,000000000000000000000010000000010000000000000001000000,4,0
226,000000000000000000000010000000010000000000000001000000,4,0
245,000000000000000000000010000000010000000000000001000000,4,0
251,000000000000000000000010000000010000000000000001000000,4,0
256,000000000000000000000010000000010000000000000001000000,4,0
257,000000000000000000000010000000010000000000000001000000,4,0
258,000000000000000000000010000000010000000000000001000000,4,0
268,000000000000000000000010000000010000000000000001000000,4,0
276,000000000000000000000010000000010000000000000001000000,4,0
277,000000000000000000000010000000010000000000000001000000,4,0
278,000000000000000000000010000000010000000000000001000000,4,0
285,000000000000000000000010000000010000000000000001000000,4,0
295,000000000000000000000010000000010000000000000001000000,4,0
297,000000000000000000000010000000010000000000000001000000,4,0
298,000000000000000000000010000000010000000000000001000000,4,0
304,000000000000000000000010000000010000000000000001000000,4,0
309,000000000000000000000010000000010000000000000001000000,4,0
313,000000000000000000000010000000010000000000000001000000,4,0
316,000000000000000000000010000000010000000000000001000000,4,0
332,000000000000000000000010000000010000000000000001000000,4,0
344,000000000000000000000010000000010000000000000001000000,4,0
363,000000000000000000000010000000010000000000000001000000,4,0
