index,url,rest_price_idr,review,lat,long,is_chain,rating,new_code_res_type,rank_res_type,new_code_fac,rank_fac
0,https://www.zomato.com/jakarta/wakacao-1-kelapa-gading/info,150000.0,56.0,-6.167531,106.901752,0,3.8,4,0,4,0
1,https://www.zomato.com/jakarta/the-coffee-bean-tea-leaf-kelapa-gading/info,110000.0,61.0,-6.157341,106.907888,1,3.0,0,91,0,571
2,https://www.zomato.com/jakarta/angke-kelapa-gading-kelapa-gading/info,450000.0,363.0,-6.152638,106.892576,0,4.5,2,2,0,649
3,https://www.zomato.com/jakarta/ikan-nila-pak-ugi-kelapa-gading/info,100000.0,113.0,-6.163588,106.903689,0,3.9,0,20,0,4
4,https://www.zomato.com/jakarta/hong-kong-sheng-kee-dessert-1-kelapa-gading/info,220000.0,257.0,-6.157255,106.90843,1,4.1,0,270,0,89
5,https://www.zomato.com/jakarta/pappa-jack-kopitiam-kelapa-gading/info,330000.0,114.0,-6.1713986588,106.8987610191,0,3.1,0,139,0,29
6,https://www.zomato.com/jakarta/bakpao-lompobattang-kelapa-gading/info,36000.0,35.0,-6.1488131926,106.9105067477,0,3.6,2,2,0,9
7,https://www.zomato.com/jakarta/soto-ayam-ambengan-kelapa-gading/info,100000.0,28.0,-6.1683799854,106.900463216,0,3.1,0,86,0,111
10,https://www.zomato.com/jakarta/pan-co-japanese-fluffy-pancakes-kelapa-gading/info,200000.0,396.0,-6.157727158,106.9079432264,1,4.0,0,18,0,19
11,https://www.zomato.com/jakarta/bakmi-copin-kelapa-gading/info,80000.0,29.0,-6.1483608401,106.9105771557,0,3.9,1,6,1,2
12,https://www.zomato.com/jakarta/kyochon-kelapa-gading/info,150000.0,173.0,-6.1576114884,106.9079911709,1,4.0,0,9,0,71
13,https://www.zomato.com/jakarta/the-darwins-theory-kelapa-gading/info,200000.0,9.0,-6.153109,106.907435,0,2.7,0,802,0,695
14,https://www.zomato.com/jakarta/myeong-ga-myeon-ok-kelapa-gading/info,350000.0,94.0,-6.155696,106.893687,0,4.0,0,9,0,431
15,https://www.zomato.com/jakarta/liang-sandwich-bar-kelapa-gading/info,90000.0,39.0,-6.150372,106.891341,1,3.3,0,158,0,1240
16,https://www.zomato.com/jakarta/flip-burger-1-kelapa-gading/info,120000.0,230.0,-6.159206,106.90584,1,3.9,0,52,0,34
17,https://www.zomato.com/jakarta/bakmi-gm-kelapa-gading/info,125000.0,150.0,-6.15629112,106.908781752,1,3.8,1,6,0,17
18,https://www.zomato.com/jakarta/hokben-1-kelapa-gading/info,150000.0,57.0,-6.1584015078,106.9076572359,1,3.5,0,49,0,4
19,https://www.zomato.com/jakarta/pho-24-kelapa-gading/info,230000.0,21.0,-6.156628,106.90961,1,2.5,0,54,0,6
20,https://www.zomato.com/jakarta/yakiniku-like-1-kelapa-gading/info,200000.0,159.0,-6.150781,106.892196,1,4.3,0,322,0,13
21,https://www.zomato.com/jakarta/bingsuljip-kelapa-gading/info,100000.0,26.0,-6.1507172689,106.8912414461,0,3.4,0,9,0,6
22,https://www.zomato.com/jakarta/sei-sapi-kana-kelapa-gading/info,80000.0,34.0,-6.145963,106.905709,0,3.0,4,0,4,0
23,https://www.zomato.com/jakarta/dimsum-go-kelapa-gading/info,200000.0,173.0,-6.157258,106.908423,0,4.0,0,109,4,0
24,https://www.zomato.com/jakarta/onokabe-kelapa-gading/info,300000.0,151.0,-6.17497,106.894833,0,3.8,2,1,0,1632
25,https://www.zomato.com/jakarta/java-kitchen-kelapa-gading/info,160000651.0,53.0,-6.1672136449,106.9010864943,1,3.5,1,5,0,1101
26,https://www.zomato.com/jakarta/doner-kebab-1-kelapa-gading/info,80000.0,59.0,-6.156041,106.909539,1,3.3,0,147,0,6
27,https://www.zomato.com/jakarta/soto-betawi-nyonya-afung-express-kelapa-gading/info,100000.0,81.0,-6.150609,106.89148,0,3.6,4,0,1,2
28,https://www.zomato.com/jakarta/xin-jang-satay-kelapa-gading/info,80000.0,19.0,-6.1710656589,106.8982755393,0,3.7,0,181,0,1444
29,https://www.zomato.com/jakarta/voguerina-taipei-kelapa-gading/info,80000.0,27.0,-6.145790724,106.8917866051,0,3.3,0,12,0,5
30,https://www.zomato.com/jakarta/sandjaja-kelapa-gading/info,200000.0,82.0,-6.1704206585,106.8994255364,0,3.8,0,246,0,20
31,https://www.zomato.com/jakarta/ojju-kelapa-gading/info,200000.0,78.0,-6.1507792713,106.8916605413,1,3.8,0,9,0,79
32,https://www.zomato.com/jakarta/mcdonald-s-kelapa-gading/info,100000.0,177.0,-6.14676,106.89642,1,4.1,0,37,0,38
33,https://www.zomato.com/jakarta/bakso-boedjangan-kelapa-gading/info,100000.0,382.0,-6.161882,106.90417,1,3.1,0,102,1,2
34,https://www.zomato.com/jakarta/soto-mie-pak-kadir-kelapa-gading/info,80000.0,17.0,-6.1465270919,106.9067660719,0,3.5,0,56,1,2
35,https://www.zomato.com/jakarta/pastel-ma-cik-kelapa-gading/info,60000.0,27.0,-6.157257,106.908425,0,3.7,0,40,0,19
36,https://www.zomato.com/jakarta/docliz-coffee-kitchen-kelapa-gading/info,120000.0,50.0,-6.155096,106.892557,0,3.7,0,344,0,88
37,https://www.zomato.com/jakarta/sister-grounds-coffee-eatery-kelapa-gading/info,150000.0,52.0,-6.1752249758,106.9129673392,0,3.9,0,21,0,11
38,https://www.zomato.com/jakarta/manta-e-sport-cafe-kelapa-gading/info,120000.0,111.0,-6.1742076495,106.913966462,0,4.0,0,371,0,21
39,https://www.zomato.com/jakarta/a-fung-baso-sapi-asli-kelapa-gading/info,130000.0,33.0,-6.1564181235,106.9091012701,1,3.8,0,25,0,22
40,https://www.zomato.com/jakarta/soto-kudus-blok-m-kelapa-gading/info,80000.0,35.0,-6.167594,106.900631,1,2.7,0,51,0,303
41,https://www.zomato.com/jakarta/deja-coffee-pastry-kelapa-gading/info,150000.0,6.0,-6.1633566029,106.9032751769,0,3.4,0,99,1,2
42,https://www.zomato.com/jakarta/sate-padang-ajo-ramon-kelapa-gading/info,80000.0,30.0,-6.1460807377,106.8915458769,1,3.5,0,128,0,434
43,https://www.zomato.com/jakarta/clairmont-1-kelapa-gading/info,100000.0,18.0,-6.168645,106.899896,0,3.9,0,12,0,5
44,https://www.zomato.com/jakarta/seven-beans-coffee-kelapa-gading/info,100000.0,10.0,-6.1705923253,106.9092836604,0,3.4,0,31,0,334
