url,title,rest_type,rest_price,rest_facility,rest_longlat,rating,review
https://www.zomato.com/jakarta/kopium-artisan-coffee-beji-depok/info,Kopium Artisan Coffee,Coffee|Tea|Western|Italian,Rp180.000 for two people (approx.),Takeaway Available|Indoor Seating|Desserts and Bakes|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3611620000,106.8336660000']",4.0,125
https://www.zomato.com/jakarta/pasundan-beji/info,Pasundan,Sunda,Rp70.000 for two people (approx.),Takeaway Available|Indoor Seating|Wifi,"['https://www.google.com/maps/dir/?api=1&destination=-6.3723670000,106.8324590000']",-,2
https://www.zomato.com/jakarta/lotus-garden-restaurant-savero-hotel-depok-beji-depok/info,Lotus Garden Restaurant - Savero Hotel Depok,Western,Rp200.000 for two people (approx.),Breakfast|Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3819640000,106.8302970000']",-,2
https://www.zomato.com/jakarta/roemah-coffee-eatery-and-hub-beji-depok/info,Roemah Coffee Eatery and Hub,Indonesian,Rp100.000 for two people (approx.),Takeaway Available|Outdoor Seating|Smoking Area|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3621350000,106.8332870000']",3.0,12
https://www.zomato.com/jakarta/baleha-eat-coffee-beji-depok/info,Baleha Eat & Coffee,Indonesian|Coffee,Rp100.000 for two people (approx.),Breakfast|Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3830750000,106.8212950000']",-,1
https://www.zomato.com/jakarta/kitamura-shabu-shabu-1-beji-depok/info,Kitamura Shabu-Shabu,Japanese,Rp200.000 for two people (approx.),Indoor Seating|Table booking recommended|Praying Room|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3679260000,106.8342470000']",3.1,16
https://www.zomato.com/jakarta/dshabu-grill-sukmajaya-depok/info,D'Shabu Grill,Grill,Rp180.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3938000000,106.8516110000']",-,0
https://www.zomato.com/jakarta/pawon-nyonya-beji/info,Pawon Nyonya,Jawa|Indonesian,Rp200.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3722930000,106.8347020000']",2.9,52
https://www.zomato.com/jakarta/montato-beji-depok/info,Montato,Snacks,Rp70.000 for two people (approx.),Takeaway Available|Indoor Seating,"['https://www.google.com/maps/dir/?api=1&destination=-6.3726100000,106.8350860000']",-,3
https://www.zomato.com/jakarta/flip-burger-beji-depok/info,Flip Burger,Burger,Rp120.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3723680000,106.8349150000']",3.3,26
https://www.zomato.com/jakarta/puyo-silky-desserts-beji-depok/info,Puyo Silky Desserts,Desserts,Rp40.000 for two people (approx.),Takeaway Available|Indoor Seating|Desserts and Bakes|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3731800000,106.8345210000']",3.8,41
https://www.zomato.com/jakarta/chicking-beji-depok/info,Chicking,Fast Food,Rp80.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3825480000,106.8288150000']",3.3,11
https://www.zomato.com/jakarta/resto-mie-ayam-berkat-beji/info,Resto Mie Ayam Berkat,Bakmi|Chinese,Rp80.000 for two people (approx.),Home Delivery|Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3606460000,106.8335210000']",3.8,112
