index,url,rest_price_idr,review,lat,long,is_chain,rating,new_code_res_type,rank_res_type,new_code_fac,rank_fac,encode,geohash,d_1000_airport,d_1000_atm,d_1000_bank,d_1000_cafe,d_1000_convenience_store,d_1000_gas_station,d_1000_hospital,d_1000_lodging,d_1000_meal_takeaway,d_1000_mosque,d_1000_park,d_1000_restaurant,d_1000_school,d_1000_store,d_1000_supermarket,d_1000_train_station,en_1000,n_compt_1000
0,https://www.zomato.com/jakarta/wakacao-1-kelapa-gading/info,150000.0,56.0,-6.167531,106.901752,0,3.8,4,0,4,0,00000000000000000000000000000000000010000000000000000000000000000000000000000000000000,qquhbt,0.0,60.0,87.0,38.0,33.0,2.0,29.0,59.0,39.0,8.0,17.0,75.0,35.0,56.0,18.0,0.0,2.434447203157886,0.17582417582417584
1,https://www.zomato.com/jakarta/the-coffee-bean-tea-leaf-kelapa-gading/info,110000.0,61.0,-6.157341,106.907888,1,3.0,0,91,0,1353,01000000000000000000101000000000000001000000000000000000000000000000000000000000100000,qquhbx,0.0,144.0,106.0,71.0,9.0,2.0,9.0,31.0,16.0,6.0,16.0,110.0,41.0,77.0,33.0,0.0,2.2186673062903415,0.13142857142857142
2,https://www.zomato.com/jakarta/angke-kelapa-gading-kelapa-gading/info,450000.0,363.0,-6.152638,106.892576,0,4.5,2,2,0,907,00000000000000000001000000000000000000000000000000000000000000000000000000000000000000,qquhbr,0.0,81.0,73.0,54.0,47.0,7.0,16.0,34.0,7.0,17.0,2.0,48.0,42.0,40.0,22.0,0.0,2.3884355506012023,0.15294117647058825
3,https://www.zomato.com/jakarta/ikan-nila-pak-ugi-kelapa-gading/info,100000.0,113.0,-6.163588,106.903689,0,3.9,0,20,0,4,00000000000000000000000000000000000000000000000000000000000000000010000000000000000000,qquhbt,0.0,92.0,104.0,36.0,23.0,2.0,12.0,53.0,9.0,8.0,16.0,76.0,49.0,58.0,26.0,0.0,2.3233556644739863,0.05
4,https://www.zomato.com/jakarta/hong-kong-sheng-kee-dessert-1-kelapa-gading/info,220000.0,257.0,-6.157255,106.90843,1,4.1,0,275,0,83,00000000000000000001001100000000000000000000000000000000000000000000000000000000000000,qquhbz,0.0,91.0,80.0,33.0,13.0,5.0,9.0,18.0,7.0,2.0,16.0,37.0,35.0,46.0,25.0,0.0,2.2833788616472956,0.21951219512195122
5,https://www.zomato.com/jakarta/pappa-jack-kopitiam-kelapa-gading/info,330000.0,114.0,-6.1713986588,106.8987610191,0,3.1,0,127,0,32,00000000000000000000100000000000000000000000000000000000000010000000000000000000000000,qquhbs,0.0,53.0,68.0,110.0,72.0,10.0,12.0,61.0,114.0,40.0,6.0,75.0,21.0,97.0,32.0,2.0,2.422661223764161,0.125
6,https://www.zomato.com/jakarta/bakpao-lompobattang-kelapa-gading/info,36000.0,35.0,-6.1488131926,106.9105067477,0,3.6,2,2,0,9,00000000000000000001000000000000000000000000000000000000000000000000000000000000000000,qquj0b,0.0,74.0,50.0,68.0,14.0,8.0,2.0,34.0,10.0,7.0,9.0,95.0,28.0,65.0,15.0,0.0,2.267334046298863,0.09774436090225563
7,https://www.zomato.com/jakarta/soto-ayam-ambengan-kelapa-gading/info,100000.0,28.0,-6.1683799854,106.900463216,0,3.1,0,85,0,129,00000000000000000000000000000000000010010000000000000000000000000000010000000000000000,qquhbt,0.0,38.0,66.0,33.0,28.0,0.0,30.0,42.0,35.0,8.0,9.0,73.0,26.0,57.0,14.0,0.0,2.406582850518975,0.18072289156626506
10,https://www.zomato.com/jakarta/pan-co-japanese-fluffy-pancakes-kelapa-gading/info,200000.0,396.0,-6.157727158,106.9079432264,1,4.0,0,18,0,19,00000000000000000000000000000000000000000000000000000000000000000000000000000000000010,qquhbx,0.0,144.0,104.0,71.0,9.0,2.0,9.0,30.0,16.0,6.0,15.0,109.0,40.0,76.0,33.0,0.0,2.2159664744341994,0.08875739644970414
11,https://www.zomato.com/jakarta/bakmi-copin-kelapa-gading/info,80000.0,29.0,-6.1483608401,106.9105771557,0,3.9,1,6,1,2,00000010000000000000000000000000000000000000000000000000000000000000000000000000000000,qquj0b,0.0,67.0,46.0,54.0,14.0,8.0,2.0,34.0,9.0,7.0,7.0,80.0,27.0,55.0,15.0,0.0,2.2975162205916346,0.05357142857142857
12,https://www.zomato.com/jakarta/kyochon-kelapa-gading/info,150000.0,173.0,-6.1576114884,106.9079911709,1,4.0,0,10,0,72,00000000000000000000000000000000000000000001000000000000000000000000000000000000000000,qquhbz,0.0,93.0,81.0,32.0,13.0,5.0,9.0,18.0,7.0,2.0,16.0,37.0,30.0,46.0,25.0,0.0,2.2742299922627853,0.07894736842105263
13,https://www.zomato.com/jakarta/the-darwins-theory-kelapa-gading/info,200000.0,9.0,-6.153109,106.907435,0,2.7,0,747,0,765,00000100000000000000100000000000000001000000000000000000000000000000000000000000000000,qquhbx,0.0,139.0,95.0,81.0,16.0,10.0,8.0,27.0,17.0,8.0,13.0,114.0,51.0,72.0,32.0,0.0,2.2733635245618995,0.0972972972972973
14,https://www.zomato.com/jakarta/myeong-ga-myeon-ok-kelapa-gading/info,350000.0,94.0,-6.155696,106.893687,0,4.0,0,10,0,278,00000000000000000000000000000000000000000001000000000000000000000000000000000000000000,qquhbr,0.0,78.0,72.0,59.0,52.0,4.0,19.0,36.0,7.0,17.0,2.0,49.0,56.0,42.0,22.0,0.0,2.382894918286039,0.20689655172413793
15,https://www.zomato.com/jakarta/liang-sandwich-bar-kelapa-gading/info,90000.0,39.0,-6.150372,106.891341,1,3.3,0,162,0,973,00000000000000000000000000000000000000000000000000000000000000000000000000000001000000,qquj02,0.0,76.0,62.0,41.0,19.0,38.0,12.0,30.0,6.0,8.0,1.0,68.0,35.0,50.0,30.0,0.0,2.3845590236333045,0.0
16,https://www.zomato.com/jakarta/flip-burger-1-kelapa-gading/info,120000.0,230.0,-6.159206,106.90584,1,3.9,0,51,0,35,00000000000000000100000000000000000000000000000000000000000000000000000000000000000000,qquhbw,0.0,116.0,125.0,74.0,35.0,7.0,10.0,45.0,13.0,15.0,10.0,129.0,41.0,71.0,34.0,2.0,2.3166613656320547,0.0
17,https://www.zomato.com/jakarta/bakmi-gm-kelapa-gading/info,125000.0,150.0,-6.15629112,106.908781752,1,3.8,1,6,0,17,00000010000000000000000000000000000000000000000000000000000000000000000000000000000000,qquhbz,0.0,93.0,85.0,44.0,17.0,5.0,10.0,20.0,9.0,4.0,17.0,53.0,47.0,51.0,26.0,0.0,2.3194959232968735,0.12121212121212122
18,https://www.zomato.com/jakarta/hokben-1-kelapa-gading/info,150000.0,57.0,-6.1584015078,106.9076572359,1,3.5,0,48,0,4,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,qquhbw,0.0,98.0,112.0,67.0,21.0,7.0,10.0,44.0,13.0,17.0,10.0,120.0,42.0,70.0,33.0,0.0,2.318470405423156,0.1746987951807229
19,https://www.zomato.com/jakarta/pho-24-kelapa-gading/info,230000.0,21.0,-6.156628,106.90961,1,2.5,0,56,0,6,00000000000000000000000000000000000000000000000000000000000000000000000000000000000100,qquhbz,0.0,89.0,82.0,41.0,15.0,5.0,10.0,20.0,9.0,4.0,17.0,47.0,41.0,47.0,25.0,0.0,2.324231827391483,0.0
20,https://www.zomato.com/jakarta/yakiniku-like-1-kelapa-gading/info,200000.0,159.0,-6.150781,106.892196,1,4.3,0,435,0,13,00000000000100000000000000000000100000100000000000000000000000000000000000000000000000,qquj02,0.0,81.0,62.0,41.0,21.0,38.0,11.0,30.0,6.0,8.0,1.0,70.0,32.0,50.0,32.0,0.0,2.3770059145398745,0.1232876712328767
21,https://www.zomato.com/jakarta/bingsuljip-kelapa-gading/info,100000.0,26.0,-6.1507172689,106.8912414461,0,3.4,0,10,0,6,00000000000000000000000000000000000000000001000000000000000000000000000000000000000000,qquj02,0.0,76.0,62.0,41.0,22.0,38.0,12.0,30.0,6.0,11.0,1.0,68.0,34.0,49.0,30.0,0.0,2.3986906196881863,0.11594202898550725
