,index,url,rest_price_idr,review,lat,long,is_chain,alcohol,delivery,entertainment,indoor seating,kid friendly,no alcohol available,others_facility,outdoor seating,parking service,praying room,private dining area available,self service,smoking area,special_meal,table booking,table booking not available,table reservation required,takeaway available,asian,bakery,beverages,cafe,coffee,desserts,drink,fast_food,india,indonesia_traditional,indonesian,melayu,mid_east,noodle,others_type,seafood,snacks,special_food,street_food,tea,western,encode,geohash,d_1000_airport,d_1000_atm,d_1000_bank,d_1000_cafe,d_1000_convenience_store,d_1000_gas_station,d_1000_hospital,d_1000_lodging,d_1000_meal_takeaway,d_1000_mosque,d_1000_park,d_1000_restaurant,d_1000_school,d_1000_store,d_1000_supermarket,d_1000_train_station,en_1000,n_compt_1000,avg_n_rest,rating
4081,5954,https://www.zomato.com/jakarta/backyard-52c-setiabudi/info,100000,12.0,-6.2208113167,106.8294805661,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,00000000000000000000001000000000000000000000000000000000000000000000000000100000000000,qqguwg,0.0,128.0,63.0,84.0,56.0,6.0,35.0,41.0,51.0,60.0,18.0,84.0,30.0,41.0,49.0,0.0,2.482660565927412,0.1074168797953964,3.5190476190476194,2.5
78,3994,https://www.zomato.com/jakarta/rice-bowl-2-kuningan/info,150000,28.0,-6.2244316296,106.8272724375,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000001000000000000000000000000000000000000000000000000000000000000000000,qqguwf,0.0,77.0,27.0,33.0,48.0,7.0,29.0,37.0,77.0,42.0,14.0,30.0,44.0,40.0,22.0,0.0,2.50621336572616,0.0394736842105263,3.483333333333333,2.3
4517,6783,https://www.zomato.com/jakarta/sens%C3%A9-coffee-space-1-kemang/info,150000,4.0,-6.253816,106.814228,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000010100000000000000000000000000000000000000000000000000000000000000000,qqguqt,0.0,39.0,24.0,20.0,15.0,6.0,17.0,20.0,8.0,31.0,5.0,39.0,30.0,14.0,15.0,0.0,2.493022409073838,0.2957746478873239,3.647619047619049,2.5
1538,7042,https://www.zomato.com/jakarta/nasi-uduk-kebon-kacang-zainal-fanani-pondok-indah/info,100000,22.0,-6.2546133743,106.7906468734,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000001000000000000000000000000000000000000000000000000000000000000000000000000,qqguqj,0.0,57.0,34.0,16.0,43.0,14.0,11.0,30.0,8.0,55.0,11.0,21.0,32.0,13.0,38.0,0.0,2.4711952554474053,0.0096153846153846,3.9,2.6
2002,675,https://www.zomato.com/jakarta/killiney-tebet/info,150000,37.0,-6.222867,106.84313,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000010000000000000000000000000000000000000000010000000000000000000000000,qqgux7,3.0,70.0,44.0,48.0,26.0,17.0,34.0,23.0,6.0,62.0,24.0,35.0,34.0,41.0,44.0,0.0,2.5496755058609457,0.0449438202247191,3.7,2.5
4028,6233,https://www.zomato.com/jakarta/rm-wink-kelapa-gading/info,60000,5.0,-6.1506352658,106.8904230371,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000010010000000000000000000000000000000000000000000000,qquj02,0.0,66.0,61.0,46.0,24.0,38.0,12.0,30.0,6.0,11.0,1.0,67.0,35.0,48.0,33.0,0.0,2.4159793921325945,0.1384615384615384,3.4444444444444446,2.5
708,4501,https://www.zomato.com/jakarta/rice-bowl-sudirman/info,150000,14.0,-6.2169430005,106.8181207404,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000001000000000000000000000000000000000000000000000000000000000000000000,qqguws,0.0,68.0,41.0,66.0,58.0,13.0,87.0,39.0,10.0,72.0,14.0,47.0,39.0,32.0,59.0,0.0,2.501545119719089,0.057471264367816,3.38,2.4
78,3994,https://www.zomato.com/jakarta/rice-bowl-2-kuningan/info,150000,28.0,-6.2244316296,106.8272724375,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000001000000000000000000000000000000000000000000000000000000000000000000,qqguwf,0.0,77.0,27.0,33.0,48.0,7.0,29.0,37.0,77.0,42.0,14.0,30.0,44.0,40.0,22.0,0.0,2.50621336572616,0.0394736842105263,3.483333333333333,2.3
3338,5201,https://www.zomato.com/jakarta/emon-kitty-pluit/info,70000,36.0,-6.126154,106.791286,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000000010000000000000000000000000000000000000000000000,qqgvnh,0.0,48.0,55.0,39.0,134.0,18.0,16.0,23.0,16.0,29.0,8.0,28.0,29.0,28.0,15.0,0.0,2.3643172558284444,0.0178571428571428,3.3,2.6
1200,3257,https://www.zomato.com/jakarta/burger-king-gandaria/info,125000,38.0,-6.24448,106.783816,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000100000000100000000000000000000000000000000000000000000000000000000000,qqgumz,0.0,71.0,49.0,29.0,153.0,17.0,31.0,28.0,16.0,64.0,22.0,22.0,54.0,32.0,38.0,3.0,2.433087367080097,0.0224719101123595,3.9,2.3
