index,n_compt
0,16
1,23
2,13
3,5
4,18
5,7
6,13
7,15
10,15
11,6
12,6
13,18
14,18
17,12
18,29
20,9
21,8
22,10
23,2
24,3
25,4
26,3
27,9
28,14
29,3
30,8
31,8
33,29
34,3
35,1
36,6
37,6
38,3
39,1
40,5
41,15
42,1
43,4
44,22
46,13
47,20
48,1
49,2
50,10
51,13
52,23
53,8
54,10
55,43
56,5
57,19
58,13
59,30
60,13
61,2
62,6
63,7
64,5
65,8
66,5
67,7
68,1
69,6
70,24
72,8
73,14
74,14
75,23
76,7
78,11
79,14
80,5
81,13
82,2
83,20
84,29
85,4
86,11
87,19
89,11
90,23
91,17
92,18
93,3
94,1
95,8
96,3
97,5
98,11
99,10
100,14
101,27
102,11
103,17
104,24
105,21
106,8
107,9
108,12
109,32
110,3
111,6
112,14
114,12
115,9
116,15
117,21
118,17
119,19
120,6
121,5
122,14
123,32
124,22
125,15
126,10
128,2
129,1
130,19
131,7
132,18
133,8
134,11
135,4
136,9
137,12
138,25
139,2
140,3
141,9
142,2
143,4
144,14
145,6
146,2
149,9
150,14
151,2
152,11
153,1
154,4
156,9
157,11
158,15
159,1
160,5
161,15
162,17
164,13
165,8
166,24
167,7
168,12
169,2
170,14
171,42
172,9
173,3
174,4
175,8
176,4
177,13
178,3
179,12
180,1
181,8
182,9
184,11
185,13
186,13
187,24
188,8
189,17
190,12
191,3
192,13
193,17
194,3
195,1
196,8
198,11
199,19
200,11
201,13
202,11
203,17
204,5
205,21
206,13
207,15
208,4
209,3
210,9
211,8
212,12
213,13
214,27
215,23
216,16
217,9
218,6
219,8
220,8
221,8
222,7
223,7
224,4
225,4
226,11
227,22
228,1
229,9
230,19
231,13
232,15
233,30
237,5
238,11
239,2
240,2
241,14
242,6
243,12
244,5
245,3
246,3
247,28
248,11
249,3
250,13
251,20
252,33
253,6
254,9
257,10
258,1
259,3
260,12
261,13
262,35
263,6
264,11
265,3
266,7
267,12
268,15
269,7
270,19
271,18
272,15
273,13
274,6
275,1
276,19
277,17
279,3
280,7
281,10
282,28
283,11
284,22
285,7
286,10
287,6
288,16
289,1
290,17
291,1
293,3
294,5
295,16
296,8
297,11
298,14
299,31
300,5
301,7
302,13
303,19
304,38
305,2
306,9
307,2
308,6
309,15
310,5
311,3
312,6
313,5
314,8
315,2
316,13
317,19
319,15
320,1
322,9
323,14
324,2
325,6
326,1
327,6
328,31
329,34
330,9
331,14
332,8
333,11
334,20
335,7
336,8
337,10
338,4
339,1
340,14
341,7
342,14
343,8
344,15
345,8
346,12
347,8
348,10
349,1
350,11
351,24
352,2
353,3
354,17
355,4
356,9
357,14
358,2
359,1
360,14
361,7
362,4
363,11
364,11
365,16
366,25
367,15
368,10
369,1
370,15
371,1
372,7
373,10
374,7
375,3
376,8
378,3
379,15
380,3
382,8
383,24
384,23
385,4
386,7
387,3
388,7
389,9
390,4
391,9
392,3
393,3
394,1
395,2
396,6
397,3
398,11
399,2
400,3
401,11
402,2
403,15
404,12
405,12
406,10
407,4
408,17
409,9
410,3
411,2
412,13
413,3
414,17
415,2
417,6
418,8
419,18
420,22
421,9
422,13
423,9
425,18
426,14
427,9
428,14
429,11
430,2
431,3
432,8
433,11
434,12
435,8
436,1
437,6
438,14
439,17
440,10
441,10
442,10
443,7
444,8
446,11
447,2
449,9
450,5
451,5
453,19
454,9
456,13
457,3
458,11
459,2
460,4
461,12
462,18
463,8
464,8
465,25
466,33
467,32
468,25
469,15
470,3
471,13
472,3
473,5
474,12
475,3
476,2
477,14
478,15
479,24
480,14
481,1
482,17
483,23
484,5
485,7
486,6
489,11
490,17
491,18
492,6
493,7
494,35
495,6
496,14
497,11
498,7
499,6
500,12
501,3
502,18
503,12
504,6
506,32
507,11
508,20
509,52
512,1
513,16
514,26
516,5
517,1
518,1
520,3
521,11
522,14
524,2
525,2
526,22
529,6
530,3
533,4
534,21
536,7
537,32
538,4
540,1
541,22
544,31
546,1
548,12
549,1
550,9
551,38
553,1
554,4
556,28
557,3
558,11
559,28
560,22
561,6
564,2
567,20
568,12
570,33
574,2
575,21
576,33
577,28
578,21
579,20
580,11
582,1
585,33
586,25
587,21
588,3
589,20
590,17
592,1
593,12
594,11
595,24
597,23
598,1
599,13
600,4
602,16
604,19
605,2
606,18
607,10
608,9
609,25
610,9
611,26
613,23
614,24
615,12
616,4
617,13
618,3
619,3
620,19
622,22
623,1
624,52
625,21
626,12
627,11
629,3
631,24
632,12
635,19
636,8
637,38
638,2
642,9
645,12
646,7
647,3
648,6
649,25
650,1
651,2
655,3
656,3
657,9
658,3
659,17
660,10
661,10
662,18
664,7
666,4
668,31
669,23
670,7
672,22
674,24
675,4
676,38
679,17
682,24
683,2
685,6
687,37
688,14
689,3
690,19
692,1
693,2
694,21
695,13
696,1
698,1
699,3
701,10
702,5
703,26
704,8
705,6
706,42
708,19
709,3
711,11
713,6
714,2
715,20
716,16
718,11
719,18
720,5
721,9
722,14
723,2
