index,url,rest_price_idr,review,lat,long,is_chain,rating,new_code_res_type,rank_res_type,new_code_fac,rank_fac,encode,geohash,d_250_airport,d_250_atm,d_250_bank,d_250_cafe,d_250_convenience_store,d_250_gas_station,d_250_hospital,d_250_lodging,d_250_meal_takeaway,d_250_mosque,d_250_park,d_250_restaurant,d_250_school,d_250_store,d_250_supermarket,d_250_train_station,en_250,n_compt_250,avg_n_rest
0,https://www.zomato.com/jakarta/wakacao-1-kelapa-gading/info,150000,56.0,-6.167531,106.901752,0,3.8,0,504,0,5,00000000000000000000100000000000000011000000000000000000000000000000000000000000100010,qquhbt,0.0,3.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,18.0,2.0,8.0,4.0,1.0,1.9737958185935058,0.2,3.1999999999999997
1,https://www.zomato.com/jakarta/the-coffee-bean-tea-leaf-kelapa-gading/info,110000,61.0,-6.157341,106.907888,1,3.0,0,1921,0,1719,01000000000000000000101000000000000001000000000000000000000000000000000000000100100000,qquhbx,0.0,73.0,27.0,34.0,2.0,0.0,2.0,5.0,11.0,1.0,0.0,48.0,7.0,38.0,8.0,0.0,1.97647883245574,0.18556701030927836,3.738888888888889
2,https://www.zomato.com/jakarta/angke-kelapa-gading-kelapa-gading/info,450000,363.0,-6.152638,106.892576,0,4.5,0,2022,0,1439,00000000000000000001000000000000000000000000000000000000000000000000000000000000000010,qquhbr,0.0,14.0,7.0,15.0,2.0,0.0,6.0,6.0,2.0,0.0,0.0,23.0,8.0,12.0,4.0,0.0,2.1751341373138313,0.19148936170212766,3.7333333333333334
3,https://www.zomato.com/jakarta/ikan-nila-pak-ugi-kelapa-gading/info,100000,113.0,-6.163588,106.903689,0,3.9,0,47,0,58,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,qquhbt,0.0,10.0,8.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,2.0,3.0,5.0,1.0,2.0427800477428733,0.0,0.0
4,https://www.zomato.com/jakarta/hong-kong-sheng-kee-dessert-1-kelapa-gading/info,220000,257.0,-6.157255,106.90843,1,4.1,0,1453,0,233,00000000000000000001101100000000000010000000000000000000000000000000000000000000000000,qquhbz,0.0,26.0,15.0,6.0,3.0,0.0,2.0,2.0,2.0,0.0,2.0,4.0,4.0,10.0,5.0,0.0,2.084742617487081,0.12,3.9333333333333336
5,https://www.zomato.com/jakarta/pappa-jack-kopitiam-kelapa-gading/info,330000,114.0,-6.1713986588,106.8987610191,0,3.1,0,817,0,1487,00000000000000000000100000000000000000100000000000000000000010000000000000000000000000,qquhbs,0.0,5.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.7233917060220523,0.14285714285714285,4.0
6,https://www.zomato.com/jakarta/bakpao-lompobattang-kelapa-gading/info,36000,35.0,-6.1488131926,106.9105067477,0,3.6,0,1801,0,9,00000000000000000001000000000000100000000000000000000000000000000000000000000000000000,qquj0b,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0
7,https://www.zomato.com/jakarta/soto-ayam-ambengan-kelapa-gading/info,100000,28.0,-6.1683799854,106.900463216,0,3.1,0,71,0,81,00000000000000000000000000000000000010010000000000000000000000000000010000000000000000,qquhbt,0.0,20.0,21.0,2.0,3.0,0.0,4.0,7.0,2.0,0.0,2.0,20.0,1.0,11.0,1.0,0.0,2.0245460740533616,0.21052631578947367,3.575
10,https://www.zomato.com/jakarta/pan-co-japanese-fluffy-pancakes-kelapa-gading/info,200000,396.0,-6.157727158,106.9079432264,1,4.0,0,355,0,18,00000000000000000000001000000000000000000000000000000000000000000000000000000000000010,qquhbx,0.0,70.0,29.0,32.0,2.0,0.0,2.0,6.0,11.0,1.0,0.0,42.0,7.0,35.0,10.0,0.0,2.0117514275818116,0.21052631578947367,3.7333333333333334
11,https://www.zomato.com/jakarta/bakmi-copin-kelapa-gading/info,80000,29.0,-6.1483608401,106.9105771557,0,3.9,0,1683,1,2,00000010000000000000000000100000000000000000000000000000000000000000000000000000000000,qquj0b,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.7478680974667575,0.0,0.0
